terms,category,compound,date_added
dove,nonhuman,FALSE,
doves,nonhuman,FALSE,
dragon,nonhuman,FALSE,
dragonflies,nonhuman,FALSE,
dragonfly,nonhuman,FALSE,
dragons,nonhuman,FALSE,
drever,nonhuman,FALSE,
drevers,nonhuman,FALSE,
drosophila,nonhuman,FALSE,
duck,nonhuman,FALSE,
ducks,nonhuman,FALSE,
dugong,nonhuman,FALSE,
dugongs,nonhuman,FALSE,
dunker,nonhuman,FALSE,
dunkers,nonhuman,FALSE,
eagle,nonhuman,FALSE,
eagles,nonhuman,FALSE,
earthworm,nonhuman,FALSE,
earthworms,nonhuman,FALSE,
earwig,nonhuman,FALSE,
earwigs,nonhuman,FALSE,
echidna,nonhuman,FALSE,
echidnas,nonhuman,FALSE,
eel,nonhuman,FALSE,
eels,nonhuman,FALSE,
egret,nonhuman,FALSE,
egrets,nonhuman,FALSE,
elegans,nonhuman,FALSE,
elephant,nonhuman,FALSE,
elephants,nonhuman,FALSE,
elk,nonhuman,FALSE,
elks,nonhuman,FALSE,
emu,nonhuman,FALSE,
emus,nonhuman,FALSE,
ermine,nonhuman,FALSE,
ermines,nonhuman,FALSE,
falcon,nonhuman,FALSE,
falcons,nonhuman,FALSE,
fauna,nonhuman,FALSE,
faunae,nonhuman,FALSE,
faunal,nonhuman,FALSE,
felidae,nonhuman,FALSE,
feline,nonhuman,FALSE,
felines,nonhuman,FALSE,
ferret,nonhuman,FALSE,
ferrets,nonhuman,FALSE,
finch,nonhuman,FALSE,
finches,nonhuman,FALSE,
fireflies,nonhuman,FALSE,
firefly,nonhuman,FALSE,
fish,nonhuman,FALSE,
fishes,nonhuman,FALSE,
flamingo,nonhuman,FALSE,
flamingoes,nonhuman,FALSE,
flea,nonhuman,FALSE,
fleas,nonhuman,FALSE,
flies,nonhuman,FALSE,
flounder,nonhuman,FALSE,
flounders,nonhuman,FALSE,
flower,nonhuman,FALSE,
flowering,nonhuman,FALSE,
flowers,nonhuman,FALSE,
fly,nonhuman,FALSE,
flyingfish,nonhuman,FALSE,
